closed_ts,pnl,reason
1654117200000,-1.6199,timeout
1654722000000,1.6078,timeout
1654779600000,3.0521,tp
1654862400000,3.6246,tp
1654945200000,3.6318,tp
1654977600000,3.2595,tp
1654999200000,3.4925,tp
1655085600000,3.7444,tp
1655107200000,3.6733,tp
1655316000000,-6.0424,legx
1655532000000,4.8385,tp
1655661600000,-6.0424,legx
1656266400000,-2.6127,timeout
1656378000000,3.0894,tp
1656482400000,3.4119,tp
1657087200000,-3.5165,timeout
1657202400000,3.9692,tp
1657576800000,-6.0376,legx
1657846800000,-6.0424,legx
1658246400000,3.2497,tp
1658714400000,-6.0376,legx
1658793600000,3.7313,tp
1658944800000,-6.0424,legx
1659027600000,3.4470,tp
1659632400000,-4.3706,timeout
1659898800000,-6.0424,legx
1660017600000,3.1320,tp
1660305600000,3.6341,tp
1660737600000,-6.0376,legx
1660867200000,3.9197,tp
1660888800000,3.4694,tp
1661493600000,-1.4042,timeout
1661551200000,3.5455,tp
1661720400000,3.9873,tp
1661734800000,3.2515,tp
1661832000000,-6.0424,legx
1662436800000,-0.0250,timeout
1662487200000,3.5363,tp
1662710400000,-6.0424,legx
1662944400000,3.0011,tp
1663077600000,-6.0376,legx
1663293600000,3.1936,tp
1663794000000,3.0346,tp
1664398800000,-3.7251,timeout
1664481600000,3.1968,tp
1665086400000,2.3500,timeout
1665331200000,3.0012,tp
1665446400000,3.4729,tp
1665640800000,3.1904,tp
1666245600000,0.0470,timeout
1666850400000,-1.5977,timeout
1666962000000,3.0135,tp
1667026800000,5.4103,tp
1667030400000,5.3054,tp
1667052000000,5.9194,tp
1667055600000,7.5216,tp
1667084400000,-6.0376,legx
1667210400000,3.2715,tp
1667548800000,3.2869,tp
1667880000000,-6.0376,legx
1667923200000,-6.0424,legx
1667930400000,4.7981,tp
1667955600000,3.3891,tp
1667970000000,4.7900,tp
1667980800000,4.8400,tp
1667984400000,3.1487,tp
1667991600000,-6.0424,legx
1668027600000,4.6080,tp
1668031200000,-6.0424,legx
1668049200000,-6.0424,legx
1668654000000,-0.6664,timeout
1668996000000,3.4745,tp
1669114800000,3.0224,tp
1669158000000,-6.0424,legx
1669762800000,-0.7014,timeout
1670367600000,0.8405,timeout
1670972400000,-1.4730,timeout
1671228000000,-6.0376,legx
1671721200000,3.2684,tp
1672149600000,3.7881,tp
1672203600000,4.1552,tp
1672300800000,3.2309,tp
1672344000000,5.4461,tp
1672351200000,-6.0424,legx
1672642800000,-6.0424,legx
1672722000000,3.0218,tp
1672758000000,5.5180,tp
1672812000000,3.3964,tp
1673168400000,3.2870,tp
1673222400000,5.2593,tp
1673229600000,3.4057,tp
1673276400000,3.5568,tp
1673643600000,3.3425,tp
1673654400000,4.6303,tp
1673661600000,5.6327,tp
1673672400000,3.3713,tp
1674054000000,-6.0376,legx
1674252000000,3.6471,tp
1674856800000,-2.2587,timeout
1675296000000,3.3806,tp
1675900800000,-3.5393,timeout
1676062800000,3.1027,tp
1676462400000,-6.0424,legx
1676502000000,3.0754,tp
1677106800000,-3.6424,timeout
1677711600000,-1.2123,timeout
1678284000000,-6.0376,legx
1678392000000,4.4269,tp
1678719600000,-6.0424,legx
1678795200000,3.8173,tp
1679090400000,3.2118,tp
1679104800000,3.1914,tp
1679713200000,-4.1367,timeout
1679752800000,3.3749,tp
1679983200000,3.1238,tp
1680588000000,0.0244,timeout
1680786000000,-6.0376,legx
1680847200000,3.3364,tp
1681452000000,-4.7615,timeout
1681797600000,3.3842,tp
1682002800000,3.3341,tp
1682103600000,4.3606,tp
1682708400000,-0.7818,timeout
1683313200000,-1.0045,timeout
1683568800000,-6.0376,legx
1684173600000,-0.5072,timeout
1684778400000,-0.3170,timeout
1685383200000,-0.8163,timeout
1685462400000,3.2680,tp
1686067200000,-0.4351,timeout
1686146400000,3.3950,tp
1686369600000,3.4520,tp
1686974400000,-1.9725,timeout
1687399200000,3.0618,tp
1687978800000,-6.0376,legx
1688583600000,0.5112,timeout
1688666400000,-6.0424,legx
1689260400000,-6.0424,legx
1689267600000,13.0262,tp
1689274800000,5.0781,tp
1689354000000,-6.0376,legx
1689418800000,3.0443,tp
1689735600000,-6.0424,legx
1690340400000,1.3666,timeout
1690945200000,1.6614,timeout
1691550000000,-1.6117,timeout
1692154800000,-1.2946,timeout
1692306000000,5.0908,tp
1692525600000,-6.0424,legx
1693130400000,-0.0861,timeout
1693576800000,3.3131,tp
1694181600000,-0.5562,timeout
1694458800000,3.3807,tp
1695063600000,-3.3336,timeout
1695668400000,0.1782,timeout
1696150800000,-6.0424,legx
1696161600000,3.0308,tp
1696766400000,0.0032,timeout
1697371200000,-1.9908,timeout
1697461200000,-6.0424,legx
1697727600000,3.1361,tp
1697778000000,3.1884,tp
1697868000000,3.1063,tp
1697922000000,3.6140,tp
1698098400000,3.8136,tp
1698656400000,3.5840,tp
1698782400000,3.4109,tp
1698843600000,3.3350,tp
1698858000000,6.1319,tp
1698940800000,-6.0376,legx
1699167600000,3.0417,tp
1699308000000,3.7763,tp
1699459200000,3.1519,tp
1699484400000,3.2713,tp
1699714800000,4.4997,tp
1699894800000,-6.0376,legx
1700499600000,-0.6070,timeout
1700604000000,-6.0376,legx
1701208800000,-1.0404,timeout
1701421200000,3.2874,tp
1701666000000,3.5689,tp
1701820800000,3.1591,tp
1702044000000,3.0814,tp
1702087200000,3.4935,tp
1702260000000,-6.0376,legx
1702476000000,-6.0424,legx
1702893600000,3.0474,tp
1702951200000,-6.0424,legx
1703556000000,0.5832,timeout
1703811600000,-6.0376,legx
1704283200000,5.7562,tp
1704888000000,0.7516,timeout
1704920400000,3.4878,tp
1704956400000,3.1479,tp
1705096800000,-6.0376,legx
1705248000000,-6.0424,legx
1705680000000,3.5967,tp
1705993200000,3.1170,tp
1706598000000,-1.0808,timeout
1707202800000,-3.4941,timeout
1707465600000,3.1568,tp
1707958800000,3.0367,tp
1708005600000,3.5700,tp
1708610400000,2.2406,timeout
1709107200000,3.2184,tp
1709506800000,3.0417,tp
1709532000000,3.8976,tp
1709568000000,4.9021,tp
1709596800000,4.3773,tp
1709614800000,-6.0376,legx
1709665200000,-6.0376,legx
1709679600000,-6.0424,legx
1709834400000,3.0010,tp
1709866800000,3.2040,tp
1710003600000,4.0700,tp
1710115200000,-6.0376,legx
1710471600000,-6.0376,legx
1710612000000,3.4349,tp
1710727200000,-6.0424,legx
1710820800000,3.1662,tp
1710910800000,3.1689,tp
1710972000000,-6.0424,legx
1711087200000,3.8543,tp
1711692000000,0.9666,timeout
1712296800000,-3.0693,timeout
1712901600000,0.2141,timeout
1713034800000,-6.0376,legx
1713038400000,4.4786,tp
1713045600000,-6.0424,legx
1713650400000,-5.3839,timeout
1714179600000,-6.0376,legx
1714492800000,3.4402,tp
1714586400000,-6.0424,legx
1715191200000,-3.0978,timeout
1715796000000,-0.0742,timeout
1715850000000,3.3251,tp
1716022800000,3.2012,tp
1716231600000,3.4433,tp
1716246000000,3.1999,tp
1716462000000,3.4633,tp
