month,income,n_baskets
2022-06,21.1083,15
2022-07,-13.2793,9
2022-08,1.0423,12
2022-09,0.1323,9
2022-10,34.8679,13
2022-11,-2.2596,17
2022-12,7.1762,9
2023-01,33.7303,15
2023-02,-3.6654,6
2023-03,3.7171,10
2023-04,2.8588,8
2023-05,-5.4144,6
2023-06,1.4636,6
2023-07,-1.1384,9
2023-08,-2.2827,6
2023-09,2.9822,5
2023-10,12.8115,12
2023-11,7.4477,12
2023-12,-3.9392,11
2024-01,6.6964,9
2024-02,11.7284,6
2024-03,-1.1930,19
2024-04,-18.4379,8
2024-05,5.0640,9
2024-06,4.7013,5
2024-07,-6.9083,10
2024-08,-4.1921,9
2024-09,3.9306,7
2024-10,-5.8952,5
2024-11,56.5940,26
2024-12,-8.5538,12
2025-01,-22.8792,14
2025-02,22.5647,12
2025-03,-16.9886,12
2025-04,4.8184,7
2025-05,2.9239,10
2025-06,-7.3566,7
2025-07,19.8750,11
2025-08,17.6672,7
2025-09,-5.1902,5
2025-10,-12.6890,13
2025-11,0.7131,5
2025-12,-9.9774,6
2026-01,16.1245,8
2026-02,-2.8849,12
2026-03,1.3186,5
2026-04,-2.4458,5
2026-05,-3.9967,4
