timestamp,equity
1653465600000,60.0000
1653469200000,59.9165
1653472800000,59.6171
1653476400000,58.9026
1653480000000,59.0347
1653483600000,59.3224
1653487200000,59.3709
1653490800000,59.0848
1653494400000,58.9478
1653498000000,59.1523
1653501600000,59.3992
1653505200000,59.1662
1653508800000,59.5403
1653512400000,59.5831
1653516000000,59.6011
1653519600000,59.2374
1653523200000,59.5696
1653526800000,59.6747
1653530400000,60.1970
1653534000000,59.9149
1653537600000,59.7619
1653541200000,58.8659
1653544800000,59.3937
1653548400000,59.3239
1653552000000,58.8503
1653555600000,59.2959
1653559200000,59.3662
1653562800000,59.2619
1653566400000,58.9616
1653570000000,58.6975
1653573600000,59.1143
1653577200000,59.1189
1653580800000,59.3092
1653584400000,59.7789
1653588000000,59.3097
1653591600000,59.3778
1653595200000,59.6248
1653598800000,60.0108
1653602400000,59.9248
1653606000000,59.0609
1653609600000,59.3575
1653613200000,59.6110
1653616800000,59.3735
1653620400000,59.2349
1653624000000,58.9930
1653627600000,58.4195
1653631200000,58.4289
1653634800000,58.7347
1653638400000,58.4236
1653642000000,58.6162
1653645600000,58.6719
1653649200000,58.8380
1653652800000,59.4043
1653656400000,59.3896
1653660000000,58.8782
1653663600000,59.0436
1653667200000,59.2555
1653670800000,58.4762
1653674400000,58.6316
1653678000000,59.2412
1653681600000,59.2500
1653685200000,59.5394
1653688800000,59.7694
1653692400000,59.5364
1653696000000,59.7639
1653699600000,59.0617
1653703200000,59.1263
1653706800000,58.8069
1653710400000,59.1155
1653714000000,58.9855
1653717600000,59.0900
1653721200000,59.0891
1653724800000,58.8976
1653728400000,58.8821
1653732000000,58.9326
1653735600000,58.7873
1653739200000,58.9866
1653742800000,59.3111
1653746400000,59.2708
1653750000000,59.2920
1653753600000,59.5528
1653757200000,59.3033
1653760800000,59.5355
1653764400000,59.6096
1653768000000,59.5888
1653771600000,59.7310
1653775200000,59.5419
1653778800000,59.4524
1653782400000,59.2334
1653786000000,59.1393
1653789600000,58.9812
1653793200000,58.7656
1653796800000,58.5132
1653800400000,58.6686
1653804000000,58.7431
1653807600000,58.6502
1653811200000,58.8142
1653814800000,58.6183
1653818400000,58.7764
1653822000000,58.8046
1653825600000,59.1512
1653829200000,59.0972
1653832800000,58.9997
1653836400000,58.9890
1653840000000,59.0236
1653843600000,58.9900
1653847200000,58.8997
1653850800000,58.9388
1653854400000,58.9010
1653858000000,58.9228
1653861600000,59.4082
1653865200000,59.3870
1653868800000,59.1803
1653872400000,59.9180
1653876000000,60.5542
1653879600000,60.9173
1653883200000,60.9489
1653886800000,60.7259
1653890400000,61.2678
1653894000000,61.0496
1653897600000,61.0661
1653901200000,60.7288
1653904800000,60.7221
1653908400000,60.8695
1653912000000,60.8424
1653915600000,60.3032
1653919200000,60.0261
1653922800000,60.0432
1653926400000,59.8896
1653930000000,59.8949
1653933600000,59.9088
1653937200000,59.8744
1653940800000,60.8095
1653944400000,61.2452
1653948000000,60.9755
1653951600000,60.9043
1653955200000,60.6499
1653958800000,60.6181
1653962400000,60.8732
1653966000000,60.9268
1653969600000,60.6709
1653973200000,60.8189
1653976800000,60.6565
1653980400000,60.8289
1653984000000,61.1413
1653987600000,60.9892
1653991200000,61.1597
1653994800000,61.2898
1653998400000,61.1206
1654002000000,60.8644
1654005600000,61.3046
1654009200000,61.6148
1654012800000,62.4135
1654016400000,62.5588
1654020000000,62.1133
1654023600000,61.9056
1654027200000,61.9538
1654030800000,61.8185
1654034400000,62.2458
1654038000000,62.3204
1654041600000,62.7097
1654045200000,62.6962
1654048800000,62.4115
1654052400000,62.0757
1654056000000,62.0712
1654059600000,61.7895
1654063200000,61.7585
1654066800000,61.5136
1654070400000,61.8925
1654074000000,61.9773
1654077600000,61.5575
1654081200000,61.4125
1654084800000,61.4566
1654088400000,61.3424
1654092000000,60.8417
1654095600000,59.7988
1654099200000,59.6522
1654102800000,59.2902
1654106400000,59.9908
1654110000000,59.9232
1654113600000,59.2849
1654117200000,58.8198
1654120800000,58.9976
1654124400000,59.0325
1654128000000,58.8220
1654131600000,59.2023
1654135200000,58.9577
1654138800000,59.0069
1654142400000,59.2844
1654146000000,59.3428
1654149600000,59.4413
1654153200000,59.5374
1654156800000,59.5883
1654160400000,59.6476
1654164000000,59.5957
1654167600000,59.7949
1654171200000,59.7334
1654174800000,59.7522
1654178400000,60.1300
1654182000000,60.2165
1654185600000,60.2668
1654189200000,60.2929
1654192800000,60.3695
1654196400000,60.4808
1654200000000,60.2780
1654203600000,60.6056
1654207200000,60.9145
1654210800000,60.8955
1654214400000,60.7868
1654218000000,61.2152
1654221600000,61.1419
1654225200000,61.2061
1654228800000,61.0154
1654232400000,61.1498
1654236000000,60.9216
1654239600000,60.9249
1654243200000,60.8005
1654246800000,60.6436
1654250400000,60.3209
1654254000000,59.7284
1654257600000,59.7373
1654261200000,59.9008
1654264800000,59.2075
1654268400000,59.1764
1654272000000,59.4910
1654275600000,59.6943
1654279200000,59.7809
1654282800000,59.7149
1654286400000,59.8444
1654290000000,59.5764
1654293600000,59.4311
1654297200000,59.6688
1654300800000,59.6390
1654304400000,59.4453
1654308000000,59.6929
1654311600000,59.5439
1654315200000,59.8116
1654318800000,59.7324
1654322400000,59.7554
1654326000000,59.7770
1654329600000,59.9827
1654333200000,59.9444
1654336800000,59.9506
1654340400000,59.8719
1654344000000,59.6735
1654347600000,59.7682
1654351200000,60.0197
1654354800000,60.2609
1654358400000,60.1088
1654362000000,59.9852
1654365600000,60.0686
1654369200000,59.8862
1654372800000,59.9483
1654376400000,59.8671
1654380000000,59.6995
1654383600000,59.6036
1654387200000,59.0618
1654390800000,59.0752
1654394400000,59.1477
1654398000000,59.1414
1654401600000,59.0975
1654405200000,59.2152
1654408800000,59.1901
1654412400000,59.1563
1654416000000,59.2008
1654419600000,59.1850
1654423200000,59.0798
1654426800000,59.2035
1654430400000,59.1090
1654434000000,59.0364
1654437600000,59.1301
1654441200000,59.2815
1654444800000,59.1481
1654448400000,59.1824
1654452000000,59.4273
1654455600000,59.4792
1654459200000,59.5239
1654462800000,59.4657
1654466400000,59.3507
1654470000000,59.3237
1654473600000,59.8576
1654477200000,60.5079
1654480800000,60.4302
1654484400000,60.9645
1654488000000,60.8192
1654491600000,60.8317
1654495200000,61.3318
1654498800000,61.0786
1654502400000,61.1886
1654506000000,61.0426
1654509600000,61.0260
1654513200000,60.4478
1654516800000,60.3738
1654520400000,60.3757
1654524000000,60.8761
1654527600000,60.6652
1654531200000,60.5078
1654534800000,60.7712
1654538400000,60.6577
1654542000000,60.9173
1654545600000,59.9139
1654549200000,60.0053
1654552800000,60.1055
1654556400000,59.8027
1654560000000,59.0676
1654563600000,58.1256
1654567200000,58.2005
1654570800000,57.7859
1654574400000,57.2606
1654578000000,57.2856
1654581600000,57.4684
1654585200000,57.6931
1654588800000,57.6036
1654592400000,57.2614
1654596000000,57.2119
1654599600000,56.6206
1654603200000,56.9878
1654606800000,57.0309
1654610400000,57.3733
1654614000000,57.4368
1654617600000,57.6220
1654621200000,57.6311
1654624800000,57.9471
1654628400000,59.2726
1654632000000,59.6570
1654635600000,59.8651
1654639200000,60.0489
1654642800000,59.8431
1654646400000,59.9407
1654650000000,59.8989
1654653600000,59.3044
1654657200000,58.0915
1654660800000,58.5917
1654664400000,58.8650
1654668000000,58.9453
1654671600000,59.0740
1654675200000,59.3014
