month,income,n_baskets
2020-02,-5.5350,1
2020-06,3.6198,2
2020-07,0.7665,2
2020-08,-30.9803,6
2020-09,1.3107,10
2020-10,51.0329,19
2020-11,-6.7422,11
2020-12,16.3195,11
2021-01,-27.2048,14
2021-02,-11.2658,5
2021-03,15.8726,12
2021-04,6.9085,16
2021-05,33.4825,5
2021-06,8.5334,6
2021-07,0.7248,6
2021-08,5.5971,3
2021-09,4.9804,15
2021-10,37.7546,15
2021-11,46.4678,12
2021-12,11.3660,10
2022-01,42.5629,13
2022-02,11.7929,4
2022-03,12.2951,9
2022-04,24.5093,7
2022-05,11.7467,12
2022-06,-12.6281,8
2022-07,23.9171,9
2022-08,1.0884,6
2022-09,-13.7309,9
2022-10,-15.7242,8
2022-11,34.7321,8
2022-12,14.8824,6
2023-01,10.4064,4
2023-02,-13.2065,5
2023-03,-1.9590,9
2023-04,6.5907,5
2023-05,10.9326,8
2023-06,7.7146,13
2023-07,-21.9107,7
2023-08,-16.7789,10
2023-09,8.7606,8
2023-10,21.1427,8
2023-11,19.0102,9
2023-12,14.9563,7
2024-01,-24.1418,17
2024-02,-27.8267,13
2024-03,33.3498,15
2024-04,35.3190,13
2024-05,-8.2204,11
2024-06,13.9934,10
2024-07,10.7758,7
2024-08,-39.2698,14
2024-09,3.7349,8
2024-10,-2.9303,12
2024-11,11.6478,9
2024-12,-14.9878,7
2025-01,-33.4515,14
2025-02,11.2941,18
2025-03,-7.6834,15
2025-04,-8.5971,16
2025-05,1.8957,11
2025-06,-36.2720,14
2025-07,-5.6129,16
2025-08,16.1481,18
2025-09,-37.5548,14
2025-10,138.9039,21
2025-11,-68.6717,19
2025-12,3.9237,18
2026-01,-29.1245,19
2026-02,-37.3237,25
2026-03,9.2160,21
2026-04,91.0707,16
2026-05,75.0144,19
2026-06,-41.2823,7
