symbol,side,opened_dt,closed_dt,days,entry,exit,reason,pnl
HBAR,LONG,2025-07-15,2025-08-20,36,0.23686,0.23141,ema_cross,-1.6660118213290502
TON,LONG,2025-08-05,2025-08-21,16,3.4181,3.2787,ema_cross,-2.9096604546385367
ENA,LONG,2025-08-04,2025-08-28,24,0.5935,0.6096,ema_cross,1.8421452401010956
TRX,LONG,2025-07-11,2025-08-31,51,0.29385,0.33894,ema_cross,10.680898009188367
ADA,LONG,2025-08-29,2025-08-31,2,0.8571,0.8219,ema_cross,-2.929660483024152
LINK,LONG,2025-08-22,2025-09-06,15,24.803,22.284,ema_cross,-7.162376970527764
ETH,LONG,2025-08-04,2025-09-07,34,3495.01,4271.68,ema_cross,15.49335557838175
TAO,SHORT,2025-09-05,2025-09-12,7,314.27,357.71,ema_cross,-9.735626817704523
SOL,LONG,2025-09-14,2025-09-24,10,242.24,209.02718128094295,cat_stop,-9.64965650350834
WLD,LONG,2025-09-13,2025-09-27,14,1.6642,1.2852,ema_cross,-10.0
AVAX,LONG,2025-09-18,2025-10-08,20,31.827,27.911,ema_cross,-8.665367895183335
ESPORTS,LONG,2025-09-28,2025-10-10,12,0.16488,0.10433604943208621,cat_stop,-10.0
BNB,LONG,2025-08-21,2025-10-21,61,869.72,1099.73,ema_cross,18.449104769351056
FET,SHORT,2025-10-22,2025-11-07,16,0.2439,0.3901185371111593,cat_stop,-10.0
UNI,SHORT,2025-10-09,2025-11-10,32,8.07,9.495386928532582,cat_stop,-10.0
ZEC,LONG,2025-09-17,2025-11-29,73,51.32,452.04,ema_cross,546.3037007014809
TON,SHORT,2025-09-28,2025-12-29,92,2.7079,1.6517,ema_cross,27.257997414971012
ESPORTS,LONG,2025-10-11,2026-01-01,82,0.14969,0.40138,ema_cross,117.59549762843211
AVAX,SHORT,2025-11-08,2026-01-03,56,17.739,13.805,ema_cross,15.474196290659004
SUI,SHORT,2025-11-11,2026-01-04,54,2.1618,1.665,ema_cross,16.037029142381343
WLD,SHORT,2026-01-02,2026-01-05,3,0.5209,0.6006,ema_cross,-10.0
ONDO,SHORT,2025-12-30,2026-01-05,6,0.3766,0.4559394431020065,cat_stop,-10.0
ADA,SHORT,2025-11-30,2026-01-06,37,0.4143,0.4208,ema_cross,-1.1546772869901047
INJ,SHORT,2026-01-05,2026-01-06,1,5.179,5.386,ema_cross,-2.8549565553195575
UB,SHORT,2026-01-04,2026-01-07,3,0.03665,0.04595788938952565,cat_stop,-10.0
UB,SHORT,2026-01-08,2026-01-09,1,0.04218,0.04709,ema_cross,-8.207670934091981
1000PEPE,LONG,2026-01-07,2026-01-19,12,0.0067066,0.005206735012187529,cat_stop,-10.0
FET,LONG,2026-01-14,2026-01-19,5,0.2934,0.22910629765662996,cat_stop,-10.0
SUI,LONG,2026-01-15,2026-01-20,5,1.8519,1.491401226200369,cat_stop,-10.0
BTC,LONG,2026-01-18,2026-01-20,2,95107.9,87899.64931833699,cat_stop,-5.359194757715435
1000PEPE,LONG,2026-01-20,2026-01-21,1,0.005274,0.0049849,ema_cross,-3.8915906712172985
TRX,LONG,2026-01-20,2026-01-27,7,0.31175,0.2964,ema_cross,-3.501293344025668
WLD,SHORT,2026-01-28,2026-01-28,0,0.4649,0.5683664772280141,cat_stop,-10.0
LAB,LONG,2026-01-16,2026-02-02,17,0.1438,0.13499,ema_cross,-4.342879833101536
XPL,SHORT,2026-01-27,2026-03-03,35,0.1248,0.1046,ema_cross,11.278660256410253
TAO,SHORT,2026-01-25,2026-03-06,40,237.91,185.51,ema_cross,15.367761926779034
WLD,SHORT,2026-01-29,2026-03-06,36,0.584,0.4082,ema_cross,21.02434657534246
BNB,SHORT,2026-03-04,2026-03-13,9,633.45,651.96,ema_cross,-2.1022834951456297
LINK,SHORT,2026-02-03,2026-03-14,39,9.801,9.08,ema_cross,5.095534333231303
SOL,SHORT,2026-01-27,2026-03-15,47,124.17,88.0,ema_cross,20.342749778529438
ALLO,LONG,2026-03-07,2026-03-23,16,0.1292,0.10917,ema_cross,-10.0
BCH,SHORT,2026-03-15,2026-03-26,11,467.32,473.27,ema_cross,-0.947608747753144
ESPORTS,SHORT,2026-03-07,2026-03-26,19,0.30302,0.38472326687460356,cat_stop,-10.0
BEAT,LONG,2026-03-24,2026-03-27,3,0.7358,0.4831774368727308,cat_stop,-10.0
BEAT,LONG,2026-03-28,2026-04-03,6,0.5146,0.3474,ema_cross,-10.0
TAO,LONG,2026-03-17,2026-04-13,27,279.98,259.09,ema_cross,-5.276783913136663
FET,LONG,2026-03-27,2026-04-19,23,0.2421,0.2149,ema_cross,-7.917372986369269
ESPORTS,LONG,2026-04-05,2026-04-20,15,0.44398,0.34995349332761966,cat_stop,-10.0
XPL,LONG,2026-04-20,2026-04-21,1,0.1037,0.1045,ema_cross,0.48380327868852124
UB,LONG,2026-04-23,2026-04-23,0,0.06746,0.04597907466671111,cat_stop,-10.0
UB,LONG,2026-04-24,2026-05-23,29,0.05329,0.11311,ema_cross,78.49016325764684
GUA,LONG,2026-03-14,2026-05-28,75,0.28359,0.3209,ema_cross,9.149738284142602
TRX,LONG,2026-03-27,2026-05-29,63,0.31137,0.34481,eod,7.4587370652278695
LAB,LONG,2026-04-14,2026-05-29,45,0.58417,5.7431,eod,617.8816721844668
ZEC,LONG,2026-04-21,2026-05-29,38,312.01,543.31,eod,51.81581051889361
INJ,LONG,2026-05-24,2026-05-29,5,5.337,6.399,eod,13.867602023608773
NEAR,LONG,2026-05-29,2026-05-29,0,2.419,2.571,eod,4.340752377015299
