dt,equity_usd
2020-05-31 00:00:00+00:00,45.0
2020-06-01 00:00:00+00:00,45.0
2020-06-02 00:00:00+00:00,45.0
2020-06-03 00:00:00+00:00,45.0
2020-06-04 00:00:00+00:00,45.0
2020-06-05 00:00:00+00:00,45.0
2020-06-06 00:00:00+00:00,45.0
2020-06-07 00:00:00+00:00,45.0
2020-06-08 00:00:00+00:00,45.0
2020-06-09 00:00:00+00:00,45.0
2020-06-10 00:00:00+00:00,45.0
2020-06-11 00:00:00+00:00,45.0
2020-06-12 00:00:00+00:00,45.0
2020-06-13 00:00:00+00:00,45.0
2020-06-14 00:00:00+00:00,45.0
2020-06-15 00:00:00+00:00,45.0
2020-06-16 00:00:00+00:00,45.0
2020-06-17 00:00:00+00:00,45.0
2020-06-18 00:00:00+00:00,45.0
2020-06-19 00:00:00+00:00,45.0
2020-06-20 00:00:00+00:00,45.0
2020-06-21 00:00:00+00:00,45.0
2020-06-22 00:00:00+00:00,45.0
2020-06-23 00:00:00+00:00,45.0
2020-06-24 00:00:00+00:00,45.0
2020-06-25 00:00:00+00:00,45.0
2020-06-26 00:00:00+00:00,45.0
2020-06-27 00:00:00+00:00,45.0
2020-06-28 00:00:00+00:00,45.0
2020-06-29 00:00:00+00:00,45.0
2020-06-30 00:00:00+00:00,45.0
2020-07-01 00:00:00+00:00,45.0
2020-07-02 00:00:00+00:00,45.0
2020-07-03 00:00:00+00:00,45.0
2020-07-04 00:00:00+00:00,45.0
2020-07-05 00:00:00+00:00,45.0
2020-07-06 00:00:00+00:00,45.0
2020-07-07 00:00:00+00:00,45.0
2020-07-08 00:00:00+00:00,45.0
2020-07-09 00:00:00+00:00,45.0
2020-07-10 00:00:00+00:00,45.0
2020-07-11 00:00:00+00:00,45.0
2020-07-12 00:00:00+00:00,45.0
2020-07-13 00:00:00+00:00,45.0
2020-07-14 00:00:00+00:00,45.0
2020-07-15 00:00:00+00:00,45.0
2020-07-16 00:00:00+00:00,45.0
2020-07-17 00:00:00+00:00,45.0
2020-07-18 00:00:00+00:00,45.0
2020-07-19 00:00:00+00:00,45.0
2020-07-20 00:00:00+00:00,45.0
2020-07-21 00:00:00+00:00,45.0
2020-07-22 00:00:00+00:00,45.0
2020-07-23 00:00:00+00:00,45.0
2020-07-24 00:00:00+00:00,45.0
2020-07-25 00:00:00+00:00,45.0
2020-07-26 00:00:00+00:00,45.0
2020-07-27 00:00:00+00:00,45.0
2020-07-28 00:00:00+00:00,45.0
2020-07-29 00:00:00+00:00,45.0
2020-07-30 00:00:00+00:00,45.0
2020-07-31 00:00:00+00:00,45.0
2020-08-01 00:00:00+00:00,45.0
2020-08-02 00:00:00+00:00,45.0
2020-08-03 00:00:00+00:00,45.0
2020-08-04 00:00:00+00:00,45.0
2020-08-05 00:00:00+00:00,45.0
2020-08-06 00:00:00+00:00,45.0
2020-08-07 00:00:00+00:00,45.0
2020-08-08 00:00:00+00:00,45.0
2020-08-09 00:00:00+00:00,45.0
2020-08-10 00:00:00+00:00,45.0
2020-08-11 00:00:00+00:00,45.0
2020-08-12 00:00:00+00:00,45.0
2020-08-13 00:00:00+00:00,45.0
2020-08-14 00:00:00+00:00,45.0
2020-08-15 00:00:00+00:00,45.0
2020-08-16 00:00:00+00:00,45.0
2020-08-17 00:00:00+00:00,45.0
2020-08-18 00:00:00+00:00,45.0
2020-08-19 00:00:00+00:00,45.0
2020-08-20 00:00:00+00:00,45.0
2020-08-21 00:00:00+00:00,45.0
2020-08-22 00:00:00+00:00,45.0
2020-08-23 00:00:00+00:00,45.0
2020-08-24 00:00:00+00:00,45.0
2020-08-25 00:00:00+00:00,45.0
2020-08-26 00:00:00+00:00,45.0
2020-08-27 00:00:00+00:00,45.0
2020-08-28 00:00:00+00:00,45.0
2020-08-29 00:00:00+00:00,45.0
2020-08-30 00:00:00+00:00,45.0
2020-08-31 00:00:00+00:00,45.0
2020-09-01 00:00:00+00:00,45.0
2020-09-02 00:00:00+00:00,45.0
2020-09-03 00:00:00+00:00,45.0
2020-09-04 00:00:00+00:00,45.0
2020-09-05 00:00:00+00:00,45.0
2020-09-06 00:00:00+00:00,45.0
2020-09-07 00:00:00+00:00,45.0
2020-09-08 00:00:00+00:00,45.0
2020-09-09 00:00:00+00:00,45.0
2020-09-10 00:00:00+00:00,45.0
2020-09-11 00:00:00+00:00,45.0
2020-09-12 00:00:00+00:00,45.0
2020-09-13 00:00:00+00:00,45.0
2020-09-14 00:00:00+00:00,45.0
2020-09-15 00:00:00+00:00,45.0
2020-09-16 00:00:00+00:00,45.0
2020-09-17 00:00:00+00:00,45.0
2020-09-18 00:00:00+00:00,45.0
2020-09-19 00:00:00+00:00,45.0
2020-09-20 00:00:00+00:00,45.0
2020-09-21 00:00:00+00:00,45.0
2020-09-22 00:00:00+00:00,45.0
2020-09-23 00:00:00+00:00,45.0
2020-09-24 00:00:00+00:00,45.0
2020-09-25 00:00:00+00:00,45.0
2020-09-26 00:00:00+00:00,45.0
2020-09-27 00:00:00+00:00,45.0
2020-09-28 00:00:00+00:00,45.0
2020-09-29 00:00:00+00:00,45.0
2020-09-30 00:00:00+00:00,45.0
2020-10-01 00:00:00+00:00,45.0
2020-10-02 00:00:00+00:00,45.0
2020-10-03 00:00:00+00:00,45.0
2020-10-04 00:00:00+00:00,45.0
2020-10-05 00:00:00+00:00,45.0
2020-10-06 00:00:00+00:00,45.0
2020-10-07 00:00:00+00:00,45.0
2020-10-08 00:00:00+00:00,45.0
2020-10-09 00:00:00+00:00,45.0
2020-10-10 00:00:00+00:00,45.0
2020-10-11 00:00:00+00:00,45.0
2020-10-12 00:00:00+00:00,45.0
2020-10-13 00:00:00+00:00,45.0
2020-10-14 00:00:00+00:00,45.0
2020-10-15 00:00:00+00:00,45.0
2020-10-16 00:00:00+00:00,44.71752723973926
2020-10-17 00:00:00+00:00,44.65576157997992
2020-10-18 00:00:00+00:00,44.8052488033985
2020-10-19 00:00:00+00:00,44.953034367474814
2020-10-20 00:00:00+00:00,44.90751555246789
2020-10-21 00:00:00+00:00,45.67757022265059
2020-10-22 00:00:00+00:00,45.98740308130959
2020-10-23 00:00:00+00:00,45.926826189783576
2020-10-24 00:00:00+00:00,46.19028454538236
2020-10-25 00:00:00+00:00,45.96218744623801
2020-10-26 00:00:00+00:00,45.58323677452744
2020-10-27 00:00:00+00:00,46.13020580369764
2020-10-28 00:00:00+00:00,45.676506234968755
2020-10-29 00:00:00+00:00,45.725798495738076
2020-10-30 00:00:00+00:00,45.62400951166879
2020-10-31 00:00:00+00:00,45.84327044921342
2020-11-01 00:00:00+00:00,46.05362577549947
2020-11-02 00:00:00+00:00,45.51325786461574
2020-11-03 00:00:00+00:00,45.63093244541052
2020-11-04 00:00:00+00:00,45.799500679051334
2020-11-05 00:00:00+00:00,46.897878413914086
2020-11-06 00:00:00+00:00,47.40847715280464
2020-11-07 00:00:00+00:00,46.70514604237895
2020-11-08 00:00:00+00:00,47.52161448840976
2020-11-09 00:00:00+00:00,47.23772917670777
2020-11-10 00:00:00+00:00,47.174199690131054
2020-11-11 00:00:00+00:00,47.51296548825196
2020-11-12 00:00:00+00:00,47.89599469782223
2020-11-13 00:00:00+00:00,48.02308778671099
2020-11-14 00:00:00+00:00,47.54693900701826
2020-11-15 00:00:00+00:00,47.30607441287644
2020-11-16 00:00:00+00:00,48.130690792690885
2020-11-17 00:00:00+00:00,49.18001809839262
2020-11-18 00:00:00+00:00,49.01271925598852
2020-11-19 00:00:00+00:00,49.11960220025855
2020-11-20 00:00:00+00:00,50.507853975819835
2020-11-21 00:00:00+00:00,53.96503258962201
2020-11-22 00:00:00+00:00,53.18095996950049
2020-11-23 00:00:00+00:00,56.94210730782518
2020-11-24 00:00:00+00:00,59.697015619341954
2020-11-25 00:00:00+00:00,56.861592148555836
2020-11-26 00:00:00+00:00,51.60728399820659
2020-11-27 00:00:00+00:00,51.6198859703498
2020-11-28 00:00:00+00:00,52.877514856838545
2020-11-29 00:00:00+00:00,53.743941135895575
2020-11-30 00:00:00+00:00,55.67133657745562
2020-12-01 00:00:00+00:00,53.814064405610765
2020-12-02 00:00:00+00:00,54.428747734711095
2020-12-03 00:00:00+00:00,54.92277020357803
2020-12-04 00:00:00+00:00,53.21283276269877
2020-12-05 00:00:00+00:00,54.30353726156431
2020-12-06 00:00:00+00:00,54.48607462189581
2020-12-07 00:00:00+00:00,54.02536385924931
2020-12-08 00:00:00+00:00,52.43688280810948
2020-12-09 00:00:00+00:00,52.91182746826232
2020-12-10 00:00:00+00:00,52.289230652050385
2020-12-11 00:00:00+00:00,51.88451743804426
2020-12-12 00:00:00+00:00,52.844092576775466
2020-12-13 00:00:00+00:00,53.80311620324942
2020-12-14 00:00:00+00:00,53.732964699446676
2020-12-15 00:00:00+00:00,53.601903191500035
2020-12-16 00:00:00+00:00,56.324022784468916
2020-12-17 00:00:00+00:00,57.545579847208856
2020-12-18 00:00:00+00:00,58.069192266877366
2020-12-19 00:00:00+00:00,58.54519829731087
2020-12-20 00:00:00+00:00,59.025674096916994
2020-12-21 00:00:00+00:00,58.11096661633467
2020-12-22 00:00:00+00:00,58.465039899540955
2020-12-23 00:00:00+00:00,55.21861688734347
2020-12-24 00:00:00+00:00,57.58485865039752
2020-12-25 00:00:00+00:00,58.4458323318316
2020-12-26 00:00:00+00:00,59.484873627177215
2020-12-27 00:00:00+00:00,59.90629404507842
2020-12-28 00:00:00+00:00,61.40085947336676
2020-12-29 00:00:00+00:00,61.63211022074513
2020-12-30 00:00:00+00:00,62.72822021671634
2020-12-31 00:00:00+00:00,62.44567205227642
2021-01-01 00:00:00+00:00,63.98954475084513
2021-01-02 00:00:00+00:00,69.48226758797678
2021-01-03 00:00:00+00:00,73.0667307375546
2021-01-04 00:00:00+00:00,73.28399004586655
2021-01-05 00:00:00+00:00,75.72802422846516
2021-01-06 00:00:00+00:00,80.07894240177832
2021-01-07 00:00:00+00:00,81.1052610877719
2021-01-08 00:00:00+00:00,81.58170830605766
2021-01-09 00:00:00+00:00,83.43602224637024
2021-01-10 00:00:00+00:00,81.59243450835211
2021-01-11 00:00:00+00:00,76.5574043837724
2021-01-12 00:00:00+00:00,75.40020403365588
2021-01-13 00:00:00+00:00,79.03613080290349
2021-01-14 00:00:00+00:00,81.51423662789574
2021-01-15 00:00:00+00:00,78.99425868032135
2021-01-16 00:00:00+00:00,80.19771532902652
2021-01-17 00:00:00+00:00,80.78382733446774
2021-01-18 00:00:00+00:00,81.54547232925961
2021-01-19 00:00:00+00:00,81.79354405966113
2021-01-20 00:00:00+00:00,81.77418095805088
2021-01-21 00:00:00+00:00,74.35546858828579
2021-01-22 00:00:00+00:00,77.85517451384973
2021-01-23 00:00:00+00:00,77.27256296596772
2021-01-24 00:00:00+00:00,79.23427949504499
2021-01-25 00:00:00+00:00,78.17212861318339
2021-01-26 00:00:00+00:00,78.7584858609948
2021-01-27 00:00:00+00:00,75.1976293924607
2021-01-28 00:00:00+00:00,78.8103615614267
2021-01-29 00:00:00+00:00,79.881464651441
2021-01-30 00:00:00+00:00,80.44486734528537
2021-01-31 00:00:00+00:00,78.85158881661253
2021-02-01 00:00:00+00:00,81.36799439126266
2021-02-02 00:00:00+00:00,84.12993992568761
2021-02-03 00:00:00+00:00,87.43695610355155
2021-02-04 00:00:00+00:00,86.68584610615292
2021-02-05 00:00:00+00:00,91.62191365073915
2021-02-06 00:00:00+00:00,94.04386603100112
2021-02-07 00:00:00+00:00,94.53668609756218
2021-02-08 00:00:00+00:00,102.47195963743387
2021-02-09 00:00:00+00:00,105.35909626061063
2021-02-10 00:00:00+00:00,110.01022795279951
2021-02-11 00:00:00+00:00,111.31906918567545
2021-02-12 00:00:00+00:00,112.37635664729208
2021-02-13 00:00:00+00:00,111.37733061240985
2021-02-14 00:00:00+00:00,110.71900812611163
2021-02-15 00:00:00+00:00,109.74946283341795
2021-02-16 00:00:00+00:00,110.5423034813822
2021-02-17 00:00:00+00:00,115.99555315817179
2021-02-18 00:00:00+00:00,119.65443265438918
2021-02-19 00:00:00+00:00,133.13694163308006
2021-02-20 00:00:00+00:00,129.46045329572988
2021-02-21 00:00:00+00:00,133.61666158375138
2021-02-22 00:00:00+00:00,127.74372926718048
2021-02-23 00:00:00+00:00,113.99042260572463
2021-02-24 00:00:00+00:00,116.69658882403084
2021-02-25 00:00:00+00:00,113.95025172852945
2021-02-26 00:00:00+00:00,116.01165800592322
2021-02-27 00:00:00+00:00,117.20769893274934
2021-02-28 00:00:00+00:00,116.09705007628658
2021-03-01 00:00:00+00:00,120.17078298051105
2021-03-02 00:00:00+00:00,117.34431110481611
2021-03-03 00:00:00+00:00,118.28057042604757
2021-03-04 00:00:00+00:00,115.0523200359343
2021-03-05 00:00:00+00:00,115.97432322063463
2021-03-06 00:00:00+00:00,115.63300102220622
2021-03-07 00:00:00+00:00,117.01977426822896
2021-03-08 00:00:00+00:00,118.32384999686123
2021-03-09 00:00:00+00:00,121.87523508382672
2021-03-10 00:00:00+00:00,120.95116566373208
