timestamp,open,high,low,close,volume,datetime
1778803200000,162.95,175.75,160.33,161.84,37692.8,2026-05-15
1778889600000,161.86,164.1,161.44,163.11,5900.57,2026-05-16
1778976000000,163.48,166.38,161.32,162.48,8460.67,2026-05-17
1779062400000,162.48,175.82,143.3,152.81,147198.38,2026-05-18
1779148800000,152.88,160.33,135.2,154.2,319973.78,2026-05-19
1779235200000,154.14,175.08,148.58,169.68,260583.87,2026-05-20
1779321600000,169.54,179.98,167.27,179.62,298834.99,2026-05-21
1779408000000,179.62,195.37,177.61,188.44,251985.28,2026-05-22
1779494400000,188.43,209.85,187.31,195.17,79219.32,2026-05-23
1779580800000,195.24,203.69,195.24,198.63,70764.38,2026-05-24
1779667200000,198.67,210.81,197.8,206.02,75288.23,2026-05-25
1779753600000,206.03,230.96,200.97,230.46,288228.65,2026-05-26
1779840000000,230.47,256.19,205.3,211.63,1486728.91,2026-05-27
1779926400000,211.71,232.12,200.12,227.6,759289.67,2026-05-28
1780012800000,227.62,239.16,218.57,221.54,494161.77,2026-05-29
