base,kind,rows,file
FET,1h,29696,data/FET_USDT_1h.csv
FET,funding,3715,data/funding/FET_USDT_funding.csv
OPG,1d,47,data/OPG_USDT_1d.csv
OPG,1h,1099,data/OPG_USDT_1h.csv
OPG,funding,275,data/funding/OPG_USDT_funding.csv
TRUMP,1d,506,data/TRUMP_USDT_1d.csv
TRUMP,1h,12117,data/TRUMP_USDT_1h.csv
TRUMP,funding,3029,data/funding/TRUMP_USDT_funding.csv
DASH,1d,2316,data/DASH_USDT_1d.csv
DASH,1h,55562,data/DASH_USDT_1h.csv
DASH,funding,6946,data/funding/DASH_USDT_funding.csv
PHAROS,1d,25,data/PHAROS_USDT_1d.csv
PHAROS,1h,581,data/PHAROS_USDT_1h.csv
PHAROS,funding,145,data/funding/PHAROS_USDT_funding.csv
XPL,1h,6937,data/XPL_USDT_1h.csv
XPL,funding,1734,data/funding/XPL_USDT_funding.csv
SOXL,1h,548,data/SOXL_USDT_1h.csv
SOXL,funding,72,data/funding/SOXL_USDT_funding.csv
UNI,1h,50115,data/UNI_USDT_1h.csv
UNI,funding,6268,data/funding/UNI_USDT_funding.csv
QQQ,1d,63,data/QQQ_USDT_1d.csv
QQQ,1h,1485,data/QQQ_USDT_1h.csv
QQQ,funding,196,data/funding/QQQ_USDT_funding.csv
BANK,1d,416,data/BANK_USDT_1d.csv
BANK,1h,9952,data/BANK_USDT_1h.csv
BANK,funding,2488,data/funding/BANK_USDT_funding.csv
XMR,1d,2317,data/XMR_USDT_1d.csv
XMR,1h,55586,data/XMR_USDT_1h.csv
XMR,funding,6993,data/funding/XMR_USDT_funding.csv
ARB,1d,1173,data/ARB_USDT_1d.csv
ARB,1h,28123,data/ARB_USDT_1h.csv
ARB,funding,3517,data/funding/ARB_USDT_funding.csv
JTO,1d,913,data/JTO_USDT_1d.csv
JTO,1h,21888,data/JTO_USDT_1h.csv
JTO,funding,5472,data/funding/JTO_USDT_funding.csv
BZ,1h,1609,data/BZ_USDT_1h.csv
BZ,funding,409,data/funding/BZ_USDT_funding.csv
APT,1d,1328,data/APT_USDT_1d.csv
APT,1h,31856,data/APT_USDT_1h.csv
APT,funding,3984,data/funding/APT_USDT_funding.csv
SNDK,1h,1461,data/SNDK_USDT_1h.csv
SNDK,funding,184,data/funding/SNDK_USDT_funding.csv
ICP,1d,1350,data/ICP_USDT_1d.csv
ICP,1h,32384,data/ICP_USDT_1h.csv
ICP,funding,5560,data/funding/ICP_USDT_funding.csv
HBAR,1h,45795,data/HBAR_USDT_1h.csv
HBAR,funding,5725,data/funding/HBAR_USDT_funding.csv
ZEST,1d,4,data/ZEST_USDT_1d.csv
ZEST,1h,68,data/ZEST_USDT_1h.csv
ZEST,funding,17,data/funding/ZEST_USDT_funding.csv
OP,1d,1468,data/OP_USDT_1d.csv
OP,1h,35204,data/OP_USDT_1h.csv
OP,funding,4402,data/funding/OP_USDT_funding.csv
CRCL,1h,2828,data/CRCL_USDT_1h.csv
CRCL,funding,363,data/funding/CRCL_USDT_funding.csv
ALGO,1d,2183,data/ALGO_USDT_1d.csv
ALGO,1h,52369,data/ALGO_USDT_1h.csv
ALGO,funding,6609,data/funding/ALGO_USDT_funding.csv
EPIC,1d,452,data/EPIC_USDT_1d.csv
EPIC,1h,10826,data/EPIC_USDT_1h.csv
EPIC,funding,2707,data/funding/EPIC_USDT_funding.csv
FARTCOIN,1d,535,data/FARTCOIN_USDT_1d.csv
FARTCOIN,1h,12808,data/FARTCOIN_USDT_1h.csv
FARTCOIN,funding,3202,data/funding/FARTCOIN_USDT_funding.csv
PAXG,1h,10488,data/PAXG_USDT_1h.csv
PAXG,funding,2623,data/funding/PAXG_USDT_funding.csv
ASR,1d,398,data/ASR_USDT_1d.csv
ASR,1h,9529,data/ASR_USDT_1h.csv
ASR,funding,2382,data/funding/ASR_USDT_funding.csv
PARTI,1d,440,data/PARTI_USDT_1d.csv
PARTI,1h,10533,data/PARTI_USDT_1h.csv
PARTI,funding,2633,data/funding/PARTI_USDT_funding.csv
VIRTUAL,1d,545,data/VIRTUAL_USDT_1d.csv
VIRTUAL,1h,13054,data/VIRTUAL_USDT_1h.csv
VIRTUAL,funding,3263,data/funding/VIRTUAL_USDT_funding.csv
1000SHIB,1d,1855,data/1000SHIB_USDT_1d.csv
1000SHIB,1h,44489,data/1000SHIB_USDT_1h.csv
1000SHIB,funding,5562,data/funding/1000SHIB_USDT_funding.csv
HIGH,1d,1217,data/HIGH_USDT_1d.csv
HIGH,1h,29192,data/HIGH_USDT_1h.csv
